IPA,WesterntypeIPA,Latin,Greek,Cyrillic,Kana
m,m,m,μ,м,m
ɱ,ɱ,m,μ,м,m
n,n,n,ν,н,n
ɳ,ɳ,ɴ,ν,њ,ny
ɲ,ɲ,ɴ,ν,њ,ny
ŋ,ŋ,ɴ,ν,њ,N
ɴ,ɴ,ɴ,ν,њ,N
p,p,p,π,п,p
b,b,b,β,б,b
t,t,t,τ,т,t
d,d,d,δ,д,d
ʈ,ʈ,t,τ,т,t
ɖ,ɖ,d,δ,д,d
c,к,c,κ,к,k
ɟ,ɟ,g,γ,г,g
k,k,k,κ,к,k
ɡ,g,g,γ,г,g
q,q,q,κ,к,k
ɢ,ɢ,ɢ,γ,г,g
ʡ,ʡ,Q,ϙ,ҁ,'
ʔ,ʔ,q,ϙ,ҁ,'
s,s,s,σ,с,s
z,z,z,ζ,з,z
ʃ,ʃ,ʃ,σ,ш,x
ʒ,ʒ,ʒ,ζ,ж,j
ʂ,ҁ,ʃ,σ,ч,x
ʐ,ƶ,ʒ,ζ,џ,j
ɕ,c,ʃ,σ,ц,x
ʑ,ж,ʒ,ζ,s,j
ɸ,ɸ,f,φ,ф,f
β,β,b,β,β,b
f,f,f,φ,ф,f
v,v,v,β,в,b
θ,θ,þ,θ,θ,s
ð,ð,ð,δ,д,z
ç,ӄ,x,χ,х,h
ʝ,γ,ɣ,γ,г,h
x,x,x,χ,х,h
ɣ,ɣ,ɣ,γ,г,h
χ,χ,x,χ,х,h
ʁ,я,ʀ,ρ,р,h
ħ,ħ,h,',х,h
ʕ,ʕ,h,',ҁ,h
h,h,h,',h,h
ɦ,ӈ,h,',h,h
ʋ,ꝡ,v,ϝ,ѵ,w
ɹ,ɹ,r,ρ,р,r
ɻ,ɻ,r,ρ,р,r
j,j,j,ι,j,y
ɰ,ɰ,w,ϝ,w,w
ɾ,ꝛ,r,ρ,р,r
ʙ,ʙ,ʙ,β,б,b
r,r,r,ρ,р,r
ɽ,ɽ,r,ρ,р,r
ʀ,ʀ,ʀ,ρ,р,r
ʜ,ʜ,ʜ,',х,h
ʢ,ʢ,ʜ,',г,h
ɬ,л,l,λ,л,r
ɮ,λ,l,λ,л,r
l,l,l,λ,л,r
ɭ,ɭ,l,λ,л,r
ʎ,ʎ,l,λ,љ,r
ʟ,ʟ,ʟ,λ,л,r
ʍ,ʍ,w,ϝ,w,how
w,w,w,ϝ,w,w
ɥ,ɥ,y,у,у,yuw
ɧ,ɧ,h,',h,x
